algorithm,description,validation,Accuracy_Mean,Accuracy_SD,Accuracy_Var,Accuracy_MIN,Accuracy_MAX,recall_Mean,recall_SD,recall_Var,recall_MIN,recall_MAX,precision_Mean,precision_SD,precision_Var,precision_MIN,precision_MAX,tn,fp,fn,tp
MLPClassifier,relu-sgd-adaptive (5-10-5),LOU,0.5414634146341463,0.025111293026797557,0.0006305770374776915,0.4878048780487805,0.573170731707317,0.0573170731707317,0.018129352130876224,0.00032867340868530633,0.024390243902439025,0.0975609756097561,0.051219512195121955,0.01707317073170732,0.0002914931588340274,0.024390243902439025,0.08536585365853659,40.9,8.1,28.6,4.4
MLPClassifier,relu-sgd-adaptive (5-10-10),LOU,0.5926829268292684,0.02791591010307219,0.0007792980368828078,0.5609756097560976,0.6463414634146342,0.012195121951219513,0.012195121951219511,0.00014872099940511598,0.0,0.036585365853658534,0.014634146341463417,0.01194873045260087,0.0001427721594289114,0.0,0.036585365853658534,45.9,3.1,31.4,1.6
MLPClassifier,relu-sgd-adaptive (5-10-15),LOU,0.5914634146341464,0.016587159156994435,0.0002751338488994644,0.5609756097560976,0.6219512195121951,0.006097560975609756,0.0060975609756097554,3.7180249851278996e-05,0.0,0.012195121951219513,0.004878048780487805,0.00808932875696439,6.543723973825104e-05,0.0,0.024390243902439025,47.9,1.1,32.4,0.6
MLPClassifier,relu-sgd-adaptive (5-15-5),LOU,0.552439024390244,0.02317073170731707,0.0005368828078524687,0.5121951219512195,0.5853658536585366,0.04268292682926829,0.0219850687528292,0.00048334324806662693,0.0,0.07317073170731707,0.0573170731707317,0.020442749529561235,0.00041790600832837603,0.036585365853658534,0.0975609756097561,42.9,6.1,28.6,4.4
MLPClassifier,relu-sgd-adaptive (5-15-10),LOU,0.5841463414634147,0.02908990351677209,0.0008462224866151093,0.5365853658536586,0.6341463414634146,0.01097560975609756,0.011504855039093417,0.00013236168947055322,0.0,0.036585365853658534,0.019512195121951223,0.017418118118397195,0.00030339083878643664,0.0,0.06097560975609756,46.4,2.6,31.4,1.6
MLPClassifier,relu-sgd-adaptive (5-15-15),LOU,0.5902439024390244,0.01981472781618525,0.0003926234384295054,0.5487804878048781,0.6219512195121951,0.00975609756097561,0.009125993626277907,8.328375966686499e-05,0.0,0.024390243902439025,0.0024390243902439024,0.004878048780487805,2.3795359904818562e-05,0.0,0.012195121951219513,48.4,0.6,32.4,0.6
MLPClassifier,relu-sgd-adaptive (10-5-5),LOU,0.5609756097560976,0.04816687233690609,0.0023200475907198094,0.47560975609756095,0.6463414634146342,0.05487804878048781,0.02129786487386949,0.0004535990481856039,0.036585365853658534,0.0975609756097561,0.04390243902439024,0.017418118118397195,0.00030339083878643664,0.024390243902439025,0.07317073170731707,42.2,6.8,29.3,3.7
MLPClassifier,relu-sgd-adaptive (10-5-10),LOU,0.5865853658536584,0.023426064283290894,0.0005487804878048773,0.5609756097560976,0.6341463414634146,0.02073170731707317,0.016406858593992327,0.00026918500892325994,0.0,0.04878048780487805,0.024390243902439025,0.01090764867073068,0.00011897679952409279,0.012195121951219513,0.04878048780487805,46.1,2.9,31.2,1.8
MLPClassifier,relu-sgd-adaptive (10-5-15),LOU,0.5865853658536584,0.014886043433821581,0.00022159428911362262,0.5609756097560976,0.6097560975609756,0.015853658536585366,0.015473875049328683,0.00023944080904223677,0.0,0.04878048780487805,0.012195121951219513,0.013359086768418686,0.00017846519928613918,0.0,0.036585365853658534,47.4,1.6,32.1,0.9
MLPClassifier,relu-sgd-adaptive (10-10-5),LOU,0.5914634146341463,0.03502782101547579,0.0012269482450922072,0.5487804878048781,0.6463414634146342,0.04390243902439025,0.022618581696330985,0.0005116002379535991,0.012195121951219513,0.08536585365853659,0.05,0.024052540150385392,0.0005785246876859014,0.012195121951219513,0.08536585365853659,42.5,6.5,29.2,3.8
