Algorithm,Description,accuracy
kd_tree,KNN con 2 vecinos peso: distance metrica: minkowski,0.58630952381
kd_tree,KNN con 3 vecinos peso: distance metrica: minkowski,0.610119047619
kd_tree,KNN con 4 vecinos peso: distance metrica: minkowski,0.633928571429
kd_tree,KNN con 5 vecinos peso: distance metrica: minkowski,0.58630952381
kd_tree,KNN con 6 vecinos peso: distance metrica: minkowski,0.633928571429
kd_tree,KNN con 7 vecinos peso: distance metrica: minkowski,0.630952380952
kd_tree,KNN con 8 vecinos peso: distance metrica: minkowski,0.633928571429
kd_tree,KNN con 9 vecinos peso: distance metrica: minkowski,0.651785714286
kd_tree,KNN con 1 vecinos peso: distance metrica: euclidean,0.58630952381
kd_tree,KNN con 2 vecinos peso: distance metrica: euclidean,0.58630952381
kd_tree,KNN con 3 vecinos peso: distance metrica: euclidean,0.610119047619
kd_tree,KNN con 4 vecinos peso: distance metrica: euclidean,0.633928571429
kd_tree,KNN con 5 vecinos peso: distance metrica: euclidean,0.58630952381
kd_tree,KNN con 6 vecinos peso: distance metrica: euclidean,0.633928571429
kd_tree,KNN con 7 vecinos peso: distance metrica: euclidean,0.630952380952
kd_tree,KNN con 8 vecinos peso: distance metrica: euclidean,0.633928571429
kd_tree,KNN con 9 vecinos peso: distance metrica: euclidean,0.651785714286
brute,KNN con 1 vecinos peso: uniform metrica: minkowski,0.58630952381
brute,KNN con 2 vecinos peso: uniform metrica: minkowski,0.693452380952
brute,KNN con 3 vecinos peso: uniform metrica: minkowski,0.610119047619
brute,KNN con 4 vecinos peso: uniform metrica: minkowski,0.654761904762
brute,KNN con 5 vecinos peso: uniform metrica: minkowski,0.58630952381
brute,KNN con 6 vecinos peso: uniform metrica: minkowski,0.675595238095
brute,KNN con 7 vecinos peso: uniform metrica: minkowski,0.675595238095
brute,KNN con 8 vecinos peso: uniform metrica: minkowski,0.696428571429
brute,KNN con 9 vecinos peso: uniform metrica: minkowski,0.696428571429
brute,KNN con 1 vecinos peso: uniform metrica: euclidean,0.58630952381
brute,KNN con 2 vecinos peso: uniform metrica: euclidean,0.693452380952
brute,KNN con 3 vecinos peso: uniform metrica: euclidean,0.610119047619
brute,KNN con 4 vecinos peso: uniform metrica: euclidean,0.654761904762
brute,KNN con 5 vecinos peso: uniform metrica: euclidean,0.58630952381
brute,KNN con 6 vecinos peso: uniform metrica: euclidean,0.675595238095
brute,KNN con 7 vecinos peso: uniform metrica: euclidean,0.675595238095
brute,KNN con 8 vecinos peso: uniform metrica: euclidean,0.696428571429
brute,KNN con 9 vecinos peso: uniform metrica: euclidean,0.696428571429
brute,KNN con 1 vecinos peso: distance metrica: minkowski,0.58630952381
brute,KNN con 2 vecinos peso: distance metrica: minkowski,0.58630952381
brute,KNN con 3 vecinos peso: distance metrica: minkowski,0.610119047619
brute,KNN con 4 vecinos peso: distance metrica: minkowski,0.633928571429
brute,KNN con 5 vecinos peso: distance metrica: minkowski,0.58630952381
brute,KNN con 6 vecinos peso: distance metrica: minkowski,0.633928571429
brute,KNN con 7 vecinos peso: distance metrica: minkowski,0.630952380952
brute,KNN con 8 vecinos peso: distance metrica: minkowski,0.633928571429
brute,KNN con 9 vecinos peso: distance metrica: minkowski,0.651785714286
brute,KNN con 1 vecinos peso: distance metrica: euclidean,0.58630952381
brute,KNN con 2 vecinos peso: distance metrica: euclidean,0.58630952381
brute,KNN con 3 vecinos peso: distance metrica: euclidean,0.610119047619
brute,KNN con 4 vecinos peso: distance metrica: euclidean,0.633928571429
brute,KNN con 5 vecinos peso: distance metrica: euclidean,0.58630952381
brute,KNN con 6 vecinos peso: distance metrica: euclidean,0.633928571429
brute,KNN con 7 vecinos peso: distance metrica: euclidean,0.630952380952
brute,KNN con 8 vecinos peso: distance metrica: euclidean,0.633928571429
brute,KNN con 9 vecinos peso: distance metrica: euclidean,0.651785714286
gini,DecisionTreeClassifier splitter:best,0.568452380952
gini,DecisionTreeClassifier splitter:random,0.550595238095
entropy,DecisionTreeClassifier splitter:best,0.517857142857
entropy,DecisionTreeClassifier splitter:random,0.675595238095
10,GradientBoostingClassifier,0.589285714286
20,GradientBoostingClassifier,0.568452380952
50,GradientBoostingClassifier,0.741071428571
100,GradientBoostingClassifier,0.741071428571
150,GradientBoostingClassifier,0.741071428571
200,GradientBoostingClassifier,0.741071428571
250,GradientBoostingClassifier,0.639880952381
500,GradientBoostingClassifier,0.720238095238
750,GradientBoostingClassifier,0.595238095238
1000,GradientBoostingClassifier,0.595238095238
1500,GradientBoostingClassifier,0.699404761905
linear,nuSVC,0.4375
poly,nuSVC,0.610119047619
rbf,nuSVC,0.589285714286
sigmoid,nuSVC,0.568452380952
linear,SVC,0.696428571429
poly,SVC,0.589285714286
rbf,SVC,0.696428571429
sigmoid,SVC,0.696428571429
gini,"RandomForest, n_estimators: 10",0.636904761905
gini,"RandomForest, n_estimators: 20",0.678571428571
gini,"RandomForest, n_estimators: 50",0.678571428571
gini,"RandomForest, n_estimators: 100",0.633928571429
gini,"RandomForest, n_estimators: 150",0.633928571429
gini,"RandomForest, n_estimators: 200",0.633928571429
gini,"RandomForest, n_estimators: 250",0.613095238095
gini,"RandomForest, n_estimators: 500",0.613095238095
gini,"RandomForest, n_estimators: 750",0.613095238095
gini,"RandomForest, n_estimators: 1000",0.613095238095
gini,"RandomForest, n_estimators: 1500",0.613095238095
entropy,"RandomForest, n_estimators: 10",0.616071428571
entropy,"RandomForest, n_estimators: 20",0.592261904762
entropy,"RandomForest, n_estimators: 50",0.633928571429
entropy,"RandomForest, n_estimators: 100",0.633928571429
entropy,"RandomForest, n_estimators: 150",0.633928571429
